filename,processed_file,PSNR
narrow_brown-171-_jpg.rf.c155367e26d333643e8af0315afc40f7.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_L\narrow_brown_spot_HE_L\narrow_brown-171-_jpg.rf.c155367e26d333643e8af0315afc40f7 HE_L.jpg,14.99
narrow_brown-172-_jpg.rf.e94e67b1b0e3da11c131295c6a75fdd9.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_L\narrow_brown_spot_HE_L\narrow_brown-172-_jpg.rf.e94e67b1b0e3da11c131295c6a75fdd9 HE_L.jpg,14.98
narrow_brown-173-_jpg.rf.ae1973806df0f51a36f7259334ec5535.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_L\narrow_brown_spot_HE_L\narrow_brown-173-_jpg.rf.ae1973806df0f51a36f7259334ec5535 HE_L.jpg,15.07
narrow_brown-175-_jpg.rf.28020203f4b5e6c95d9b578b86dd1ee2.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_L\narrow_brown_spot_HE_L\narrow_brown-175-_jpg.rf.28020203f4b5e6c95d9b578b86dd1ee2 HE_L.jpg,14.98
narrow_brown-176-_jpg.rf.ecdc73e176d89528d4424f32f3306e3d.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_L\narrow_brown_spot_HE_L\narrow_brown-176-_jpg.rf.ecdc73e176d89528d4424f32f3306e3d HE_L.jpg,15.45
narrow_brown-177-_jpg.rf.cc3acd523074e4954c08143d20bdcd02.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_L\narrow_brown_spot_HE_L\narrow_brown-177-_jpg.rf.cc3acd523074e4954c08143d20bdcd02 HE_L.jpg,15.69
narrow_brown-178-_jpg.rf.5d905dcfc1b54d6cf83ff4ba4ef29aea.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_L\narrow_brown_spot_HE_L\narrow_brown-178-_jpg.rf.5d905dcfc1b54d6cf83ff4ba4ef29aea HE_L.jpg,14.16
narrow_brown-179-_jpg.rf.b0c8890a913a01ec52ec96515bb05a84.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_L\narrow_brown_spot_HE_L\narrow_brown-179-_jpg.rf.b0c8890a913a01ec52ec96515bb05a84 HE_L.jpg,12.43
narrow_brown-18-_jpg.rf.3c79a3e2ccc7cc0ede0f47bf7286bd74.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_L\narrow_brown_spot_HE_L\narrow_brown-18-_jpg.rf.3c79a3e2ccc7cc0ede0f47bf7286bd74 HE_L.jpg,11.24
narrow_brown-180-_jpg.rf.b98c39d926a641d473665c6575094d5d.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_L\narrow_brown_spot_HE_L\narrow_brown-180-_jpg.rf.b98c39d926a641d473665c6575094d5d HE_L.jpg,12.04
narrow_brown-181-_jpg.rf.beedfcf978fdccd2f0c6d9861337f8a2.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_L\narrow_brown_spot_HE_L\narrow_brown-181-_jpg.rf.beedfcf978fdccd2f0c6d9861337f8a2 HE_L.jpg,18.09
